Curricular units 2nd sem (grade),Curricular units 2nd sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Curricular units 1st sem (approved),Curricular units 2nd sem (evaluations),Curricular units 1st sem (evaluations),Scholarship holder,Father's occupation,Mother's occupation,Target
12.221428571428572,7,13.133333333333333,1,6,12,8,0,10,10,1
12.0,6,12.0,1,6,7,7,1,10,10,1
0.0,0,0.0,1,0,0,0,1,8,5,2
10.0,1,11.4,1,5,8,6,0,5,4,2
0.0,0,0.0,1,0,6,6,0,4,4,2
11.0,5,11.9,1,5,10,10,0,6,6,0
0.0,0,0.0,1,0,0,0,1,4,6,1
12.428571428571429,6,12.571428571428571,1,6,7,8,0,10,10,1
10.75,4,11.2,1,5,10,8,0,8,8,0
10.8,5,12.0,1,6,8,7,0,11,8,2
0.0,0,0.0,1,0,5,9,0,6,6,2
13.75,8,11.975,1,7,8,8,0,5,9,1
0.0,0,0.0,1,0,0,0,0,11,6,0
12.0,1,11.666666666666666,1,3,12,12,0,8,6,0
12.333333333333334,3,12.333333333333334,1,6,11,8,0,10,10,1
10.857142857142858,3,10.333333333333334,1,3,11,8,0,8,5,0
11.0,1,10.5,1,4,11,8,1,8,8,0
13.333333333333334,6,13.666666666666666,1,6,6,6,1,9,10,1
15.055555555555555,8,14.842857142857142,1,7,9,7,1,10,10,1
11.666666666666666,6,12.0,1,6,6,8,0,7,10,1
12.2,5,12.2,1,5,7,8,0,10,10,0
0.0,0,0.0,1,0,0,1,0,3,3,0
13.3,10,12.166666666666666,1,6,14,17,0,3,5,0
11.333333333333334,3,12.0,1,5,8,6,0,5,5,2
11.0,5,11.0,1,6,11,7,0,7,10,1
13.08,7,13.08,1,7,8,8,1,8,10,1
11.6,5,10.5,1,4,7,7,1,6,5,1
11.2,5,10.666666666666666,1,6,6,9,0,1,5,1
13.8,5,14.0,1,4,5,6,0,10,10,2
0.0,0,10.0,1,2,9,9,0,7,10,2
0.0,0,0.0,1,0,7,18,0,11,5,0
13.5,6,14.0,0,6,6,6,0,10,10,1
0.0,0,12.0,1,2,6,7,0,5,5,0
0.0,0,12.666666666666666,1,3,14,12,0,1,1,0
12.333333333333334,6,11.875,1,8,7,11,0,10,10,1
13.25,3,14.0,1,5,11,9,0,3,10,2
13.333333333333334,6,13.666666666666666,1,6,6,6,0,6,6,1
14.47777777777778,8,13.75,1,7,9,7,1,8,8,1
13.8,5,14.2,1,5,7,7,0,2,10,2
0.0,0,11.96,0,4,7,10,0,3,3,0
13.4,5,12.875,1,8,14,12,0,10,10,0
0.0,0,0.0,1,0,0,0,0,11,10,1
0.0,0,0.0,1,0,0,0,0,6,7,0
14.23076923076923,13,14.63157894736842,1,18,14,19,0,7,10,1
0.0,0,0.0,1,0,0,0,0,8,10,0
12.272727272727272,11,13.0,1,10,11,12,0,9,3,1
0.0,0,0.0,1,0,0,0,0,8,5,0
13.25,4,14.2,1,4,17,15,0,5,5,0
12.3,5,13.266666666666666,1,6,10,9,0,4,5,0
13.0,3,11.666666666666666,1,6,10,12,0,4,10,2
15.0,6,13.857142857142858,1,6,6,8,0,8,7,1
11.0,3,13.0,1,3,11,9,1,8,5,2
12.8,5,13.4,1,5,5,6,0,10,10,1
12.571428571428571,6,12.666666666666666,1,6,7,6,0,8,5,1
12.516666666666666,6,12.516666666666666,1,6,7,7,0,10,10,0
13.0,7,11.616666666666667,1,6,7,11,0,6,10,2
10.75,4,10.0,1,2,12,13,1,8,10,2
10.666666666666666,3,10.333333333333334,1,3,10,11,0,4,4,2
11.4,5,13.142857142857142,1,5,6,12,0,8,10,1
14.0,5,12.6,1,5,5,5,0,6,5,1
11.0,2,11.0,1,3,12,12,0,6,5,0
11.25,4,10.8,1,5,9,8,0,8,10,1
0.0,0,0.0,1,0,0,0,0,10,3,0
14.2,5,12.8,1,5,5,5,1,10,10,1
12.2,6,14.166666666666666,1,6,13,15,0,8,5,1
0.0,0,12.1,1,5,0,12,0,6,5,0
13.77777777777778,5,14.166666666666666,1,6,17,7,0,10,10,1
13.4,5,12.8,1,5,7,8,1,4,10,2
13.666666666666666,6,13.0,1,6,6,7,0,4,6,1
15.011111111111113,8,13.467142857142855,1,7,9,7,0,10,9,1
13.742857142857144,7,13.2375,1,7,9,9,1,9,6,0
13.0,6,12.333333333333334,1,6,6,6,0,10,10,1
14.6,5,12.4,1,5,5,7,0,9,5,1
0.0,0,14.0,1,5,7,8,0,4,4,0
11.714285714285714,7,11.666666666666666,1,9,8,15,0,8,10,1
12.5,4,12.0,0,5,9,7,1,10,4,0
11.5,4,12.2,1,4,5,7,0,6,6,1
14.833333333333334,6,14.833333333333334,1,6,6,6,1,39,20,1
12.892857142857142,7,13.188,1,5,9,9,1,8,5,2
17.5875,8,17.125,1,7,8,8,0,9,5,1
12.666666666666666,6,12.666666666666666,1,6,7,7,0,10,10,1
12.0,5,12.666666666666666,1,6,10,8,1,5,5,1
0.0,0,0.0,0,0,7,8,0,4,4,2
11.5,6,11.333333333333334,1,6,6,7,1,11,10,1
12.33125,8,13.605,1,7,11,10,1,8,10,1
10.8,5,12.0,1,5,9,10,1,7,6,1
0.0,0,0.0,1,0,10,10,0,10,10,0
11.666666666666666,3,11.2,1,5,12,8,0,11,10,0
14.166666666666666,5,13.375,1,5,9,10,0,11,3,1
14.178571428571429,7,13.863333333333337,1,6,9,8,1,10,10,1
0.0,0,0.0,1,0,0,0,0,9,3,2
13.4,5,12.4,1,5,6,6,0,8,5,1
10.833333333333334,5,12.333333333333334,1,3,10,11,0,7,8,2
11.8,5,13.333333333333334,1,6,8,7,0,10,10,1
10.0,3,12.666666666666666,1,3,12,10,0,6,3,0
11.5,4,12.0,1,6,10,8,0,7,7,0
11.8,5,10.6,1,5,5,5,1,10,10,1
11.857142857142858,6,12.25,1,6,7,8,1,10,8,1
11.833333333333334,6,11.0,1,4,9,10,0,11,10,1
12.6,5,11.0,1,5,9,11,1,9,7,1
13.0,6,13.166666666666666,1,6,9,6,0,2,5,0
12.761111111111113,7,12.855555555555554,1,7,12,9,1,8,10,1
15.355,8,14.91875,1,7,8,8,0,10,10,1
11.0,3,11.5,1,4,10,13,0,5,5,0
14.2,5,14.2,1,5,5,5,0,5,6,1
13.0,6,12.5,1,6,7,6,1,8,8,1
0.0,0,0.0,1,0,0,1,0,7,7,2
11.0,4,11.666666666666666,1,5,12,10,0,9,8,1
14.257142857142856,7,14.257142857142856,1,7,8,8,0,2,2,1
11.333333333333334,2,12.0,1,3,12,13,0,9,5,0
10.5,4,11.25,1,4,11,13,0,8,10,2
13.5625,8,12.457142857142856,1,7,8,8,0,11,4,1
11.683333333333332,6,11.683333333333332,1,6,7,7,0,6,5,1
12.0,5,11.666666666666666,1,3,8,10,0,7,5,1
13.166666666666666,6,11.75,0,4,6,8,0,9,10,0
13.5,4,11.666666666666666,1,3,6,6,1,10,10,2
12.0,5,13.2,1,5,10,9,0,6,10,1
11.95,4,11.95,1,4,8,8,0,12,12,0
10.4,5,12.4,1,5,12,8,0,6,10,0
14.583333333333334,6,14.35,1,6,10,8,0,6,10,0
12.789473684210526,19,12.61904761904762,1,21,19,21,0,4,4,1
13.166666666666666,6,12.666666666666666,1,6,7,7,1,9,10,2
0.0,0,12.0,0,5,6,6,0,5,4,0
0.0,0,12.166666666666666,0,6,6,6,0,6,6,0
0.0,0,0.0,1,0,0,0,0,7,5,0
10.571428571428571,3,10.0,0,3,9,9,0,8,6,0
10.0,4,11.5,0,8,12,18,0,10,6,2
13.05,6,13.05,1,6,7,7,1,5,10,1
0.0,0,11.0,1,2,6,10,0,10,10,0
12.0,6,11.5,1,6,6,7,0,2,5,1
12.5,6,12.0,1,6,6,7,1,9,10,1
10.0,1,10.0,1,2,12,13,0,4,8,2
0.0,0,0.0,1,0,5,5,0,4,5,0
0.0,0,0.0,1,0,0,0,0,11,5,0
12.242857142857144,7,12.242857142857144,1,7,8,8,0,9,10,1
0.0,0,0.0,1,0,0,0,0,5,4,0
12.93375,8,12.93375,1,8,8,8,0,6,6,1
0.0,0,0.0,1,0,0,0,0,3,3,0
14.428571428571429,7,12.571428571428571,1,7,8,9,0,9,4,1
11.333333333333334,3,11.816666666666668,1,3,3,4,0,19,28,2
14.333333333333334,4,13.75,1,4,13,9,0,8,5,1
11.333333333333334,6,11.166666666666666,1,6,6,8,0,1,5,1
12.324285714285711,7,12.324285714285711,1,7,8,8,0,8,8,1
11.714285714285714,6,12.166666666666666,1,6,7,6,0,11,6,1
11.25,4,11.142857142857142,1,5,11,11,1,9,10,1
10.75,4,11.0,1,4,9,9,0,1,1,1
12.914285714285713,7,12.914285714285713,1,7,8,8,0,10,10,1
14.166666666666666,6,13.833333333333334,1,6,6,6,1,5,2,1
13.4,5,13.857142857142858,1,6,9,8,0,8,9,1
12.8,5,13.714285714285714,1,6,6,7,1,4,3,0
12.642857142857142,7,12.642857142857142,1,7,8,8,1,5,8,1
12.916666666666666,6,12.916666666666666,1,6,7,7,1,10,10,1
15.857142857142858,6,15.625,1,6,8,8,1,3,10,1
0.0,0,0.0,1,0,8,7,1,10,10,0
12.0,6,11.714285714285714,1,6,7,8,0,6,5,1
13.3125,8,12.125,1,6,9,10,0,6,5,2
11.6,5,11.6,1,5,5,7,1,6,6,1
0.0,0,10.0,1,1,6,11,0,8,9,0
0.0,0,10.0,1,1,13,16,1,5,6,0
13.5,2,0.0,1,0,9,10,0,4,2,0
12.333333333333334,3,13.0,1,4,8,7,1,8,8,1
14.5,6,13.333333333333334,1,6,6,6,1,8,6,1
12.5,2,11.25,1,4,13,9,0,4,4,0
12.19285714285714,7,13.85,1,5,9,9,1,10,6,1
14.9125,7,13.741666666666667,1,6,9,8,1,6,5,1
15.8,5,15.333333333333334,1,6,5,7,0,4,4,1
13.8,5,11.0,1,5,5,6,0,11,4,1
12.857142857142858,6,12.0,1,6,7,6,1,10,10,1
0.0,0,0.0,1,0,5,5,0,1,1,0
11.571428571428571,7,11.571428571428571,1,7,15,15,1,9,6,1
12.666666666666666,3,12.857142857142858,1,6,6,10,0,6,5,1
0.0,0,0.0,1,0,0,0,0,7,5,0
13.2,5,13.0,1,5,5,5,0,4,5,1
12.0,5,11.0,1,5,8,9,1,10,10,1
15.0,1,12.0,1,3,12,12,0,11,10,0
13.0,6,12.6,1,5,6,6,1,10,10,1
13.166666666666666,6,13.4,1,5,7,8,1,8,6,1
11.571428571428571,6,11.333333333333334,1,6,9,9,1,10,4,1
14.25,4,13.5,0,4,10,14,0,10,10,0
10.333333333333334,3,11.75,0,3,14,11,0,8,10,0
11.4625,7,12.471428571428572,1,6,8,10,0,5,5,2
13.555555555555555,9,12.909090909090908,1,11,15,19,0,4,4,2
13.6,5,11.6,1,5,5,5,1,6,6,1
0.0,0,0.0,0,0,9,5,0,2,10,0
12.363636363636363,10,12.9,1,9,12,13,1,11,10,1
13.22,8,13.22,1,8,8,8,0,4,6,1
13.151428571428571,7,13.151428571428571,1,7,8,8,1,7,8,1
11.333333333333334,3,12.75,0,3,8,13,0,11,10,0
12.25,4,11.333333333333334,1,6,8,8,0,8,5,1
14.142857142857142,5,13.25,1,6,13,10,1,9,10,1
12.4,5,12.4,1,5,6,7,0,10,10,2
12.833333333333334,6,15.0,1,6,6,6,1,8,8,0
13.0,5,14.4,1,5,6,6,0,7,12,1
0.0,0,11.0,1,1,12,12,0,9,10,2
10.8,5,12.4,1,5,6,8,0,5,5,1
0.0,0,16.0,0,1,12,13,1,8,8,0
12.333333333333334,5,13.571428571428571,1,5,14,10,0,7,7,1
12.5,6,11.833333333333334,1,6,6,6,0,10,10,2
12.666666666666666,5,11.666666666666666,1,5,9,8,1,9,10,1
13.0,2,11.833333333333334,0,6,8,16,0,2,4,0
10.6,5,11.166666666666666,1,6,10,8,1,8,10,1
0.0,0,0.0,1,0,0,0,0,13,13,0
12.166666666666666,6,11.75,0,8,19,17,0,10,10,0
14.0,6,14.0,1,6,7,7,0,5,5,1
12.0,6,12.833333333333334,1,6,6,6,0,6,10,1
11.666666666666666,3,12.25,1,4,10,11,0,4,2,1
14.828571428571427,7,14.828571428571427,1,7,8,8,0,4,3,1
12.8,5,11.4,1,5,8,7,1,10,10,1
12.5,6,13.0,1,6,8,6,1,10,10,1
13.671428571428573,7,13.671428571428573,1,7,8,8,1,10,10,1
12.8,5,12.666666666666666,1,6,8,9,1,9,5,1
13.0,1,10.0,0,2,12,10,0,10,10,0
12.333333333333334,5,13.5,1,5,8,10,0,9,5,1
13.55,8,12.67,1,7,8,8,0,6,3,1
15.428571428571429,6,14.5,1,6,7,8,0,6,5,1
15.3875,8,13.685714285714283,1,7,8,7,0,11,5,1
10.666666666666666,3,11.0,1,5,10,8,0,4,4,0
13.2,5,11.555555555555555,0,7,12,16,0,1,3,0
13.775,8,13.79714285714286,1,7,8,7,1,7,6,2
13.812857142857142,7,14.00375,1,7,11,8,1,6,6,1
11.4,4,12.0,1,4,8,8,1,10,10,1
14.166666666666666,6,14.166666666666666,1,5,7,9,1,11,5,1
13.8,5,14.0,1,5,5,5,0,5,9,1
12.833333333333334,6,13.8,1,5,6,7,1,6,8,1
11.857142857142858,6,12.8,1,5,10,8,0,1,1,1
13.833333333333334,6,12.166666666666666,1,6,6,6,0,5,5,1
12.333333333333334,6,12.5,1,6,6,8,0,10,3,2
11.5,4,12.0,1,4,12,9,0,3,12,1
11.5,6,10.833333333333334,1,6,9,8,1,5,4,1
13.385,8,13.385,1,8,8,8,0,2,2,1
14.5,6,15.666666666666666,1,6,9,14,0,11,5,1
13.833333333333334,6,14.333333333333334,1,6,7,9,1,7,7,1
13.0,5,11.428571428571429,1,6,12,10,0,5,10,2
11.666666666666666,6,11.666666666666666,1,6,8,9,1,29,29,1
11.333333333333334,2,12.0,1,5,10,9,1,7,4,0
14.725714285714288,7,14.725714285714288,1,7,8,8,1,5,3,1
13.666666666666666,6,14.166666666666666,1,6,6,6,1,9,10,1
12.333333333333334,6,11.571428571428571,1,6,8,10,0,4,4,1
13.1375,8,12.5,1,7,8,7,0,11,5,1
12.86,8,12.86,1,8,10,10,0,8,6,1
13.714285714285714,6,12.25,1,6,9,10,0,8,10,1
12.2,5,12.0,1,4,5,7,1,10,10,1
16.168888888888887,8,15.116666666666667,1,7,9,9,1,10,5,1
10.25,4,12.5,0,2,6,6,0,6,6,0
0.0,0,0.0,1,0,0,11,0,4,5,0
11.0,4,11.0,1,4,9,8,0,11,5,2
14.6,4,11.875,1,6,11,8,0,6,6,1
0.0,0,11.0,1,1,5,6,0,12,12,0
13.2,5,15.2,1,5,6,5,0,12,12,1
11.0,2,11.6,0,5,12,7,0,9,8,0
15.142857142857142,6,14.833333333333334,1,6,7,6,0,2,3,1
11.333333333333334,3,11.333333333333334,1,3,10,12,0,1,1,0
11.8,5,11.2,1,5,5,5,1,9,5,1
13.666666666666666,5,13.4,1,5,9,8,1,8,6,1
0.0,0,10.5,1,2,5,12,0,5,5,0
16.4,5,16.2,1,5,5,5,0,4,5,1
14.88181818181818,8,14.542857142857144,1,7,11,7,1,7,4,1
14.355555555555554,8,13.694285714285714,1,7,9,7,0,6,4,1
11.857142857142858,6,11.285714285714286,1,6,10,8,1,10,6,1
13.083333333333334,6,11.757142857142856,1,6,12,11,0,8,8,2
0.0,0,0.0,0,0,0,3,0,6,10,0
13.058571428571428,7,13.058571428571428,1,7,8,8,1,10,8,1
14.055555555555555,8,14.3,1,7,9,7,0,2,6,1
12.0,8,11.8,1,5,14,15,0,10,10,1
13.0,3,10.333333333333334,1,3,8,9,0,6,8,2
11.666666666666666,3,10.571428571428571,1,6,11,7,0,9,6,1
13.333333333333334,6,13.333333333333334,1,6,7,7,0,10,10,1
11.0,5,11.857142857142858,1,6,9,10,0,7,10,1
11.4,5,12.6,1,5,8,9,0,5,5,2
11.6,5,14.0,1,5,7,11,0,6,10,2
12.666666666666666,6,12.0,1,5,9,12,0,7,10,2
0.0,0,0.0,1,0,5,6,0,8,5,0
13.0,6,12.0,1,6,7,7,0,8,8,1
11.666666666666666,6,12.666666666666666,1,6,6,6,0,11,10,1
13.666666666666666,6,12.166666666666666,1,6,9,6,1,10,5,1
14.666666666666666,6,13.333333333333334,1,6,6,6,0,8,8,1
14.571428571428571,7,15.0,1,7,7,8,0,2,3,1
13.39125,8,13.39125,1,8,8,8,1,8,8,1
12.428571428571429,6,12.166666666666666,1,5,8,9,0,11,10,1
12.5,4,11.25,1,4,6,9,0,6,4,1
12.0,3,12.0,1,4,8,13,0,2,4,2
0.0,0,0.0,1,0,0,0,0,3,3,0
12.857142857142858,6,12.833333333333334,1,6,8,7,0,10,10,1
13.1,6,14.0,1,6,11,10,0,3,2,1
12.0,2,13.0,1,4,7,5,0,2,10,2
12.5,6,13.5,1,6,8,7,0,6,8,1
12.307692307692308,9,10.692307692307692,1,13,19,24,0,10,10,2
11.666666666666666,5,11.0,1,5,9,6,0,7,7,1
13.833333333333334,6,13.0,1,6,6,8,0,10,10,1
11.25,4,12.0,1,5,9,10,0,10,4,2
11.5,4,12.6,1,4,6,9,0,10,10,0
13.333333333333334,6,13.666666666666666,1,6,6,6,1,9,10,1
0.0,0,0.0,0,0,0,0,0,6,10,0
14.2,6,14.2,1,6,7,7,1,8,10,1
0.0,0,11.0,0,5,12,10,0,7,5,0
16.428571428571427,6,15.0,1,6,7,7,0,6,5,1
13.44285714285714,7,12.585714285714284,1,6,9,9,0,10,10,1
0.0,0,0.0,1,0,0,0,0,9,12,0
0.0,0,0.0,1,0,6,6,1,9,4,2
0.0,0,0.0,1,0,0,0,0,4,3,0
11.833333333333334,6,11.666666666666666,1,6,10,7,0,2,5,1
10.0,2,12.666666666666666,1,3,12,13,0,8,10,0
11.0,4,10.333333333333334,1,3,9,10,0,11,10,2
13.714285714285714,7,13.5,1,8,16,18,1,9,10,1
13.98,5,13.98,1,5,8,8,0,2,10,2
15.75,6,16.153846153846153,1,6,10,13,1,6,8,1
14.033333333333331,6,14.033333333333331,1,6,7,7,1,9,5,1
11.2,5,11.0,1,1,6,8,0,8,3,2
13.666666666666666,6,13.857142857142858,1,7,8,8,1,46,29,1
13.414285714285716,7,13.414285714285716,1,7,8,8,0,6,10,0
13.571428571428571,7,13.545454545454543,1,11,7,11,0,5,10,1
10.833333333333334,4,11.25,1,4,10,11,1,8,10,2
14.428571428571429,6,13.833333333333334,1,6,7,6,1,8,5,1
12.857142857142858,5,12.0,1,5,9,8,0,43,20,1
0.0,0,0.0,1,0,0,0,0,8,5,0
12.8,10,11.9,1,10,14,14,0,10,10,2
0.0,0,0.0,0,0,0,5,0,10,10,0
15.287499999999998,8,15.135714285714286,1,7,8,7,1,5,5,1
13.333333333333334,6,12.285714285714286,0,7,8,7,1,4,4,2
13.5,2,12.666666666666666,1,5,15,16,0,7,6,2
10.978571428571428,6,12.74,1,5,12,13,1,8,6,0
13.75,8,13.25,1,6,8,8,0,9,9,2
10.333333333333334,3,10.333333333333334,1,3,12,13,0,8,6,2
13.166666666666666,6,13.428571428571429,1,6,6,7,1,6,6,1
11.11111111111111,8,12.555555555555555,1,9,14,19,0,2,3,1
11.166666666666666,6,11.5,1,6,7,8,0,1,1,1
12.333333333333334,6,13.666666666666666,1,6,9,6,0,10,10,1
12.0,10,11.272727272727272,1,11,16,16,0,10,10,1
12.4,5,13.166666666666666,1,5,8,10,0,6,5,2
14.166666666666666,6,14.666666666666666,1,6,6,6,1,8,8,1
11.0,1,12.75,1,4,19,11,0,6,5,2
12.14,5,11.2,1,5,13,11,0,4,6,2
11.4,5,13.0,0,5,8,8,0,8,8,0
12.333333333333334,2,10.5,0,2,8,8,0,11,10,0
14.0,6,14.857142857142858,1,6,7,7,0,4,5,1
12.86,7,12.86,1,7,11,11,1,10,5,1
12.0,11,11.727272727272728,1,11,14,12,0,11,4,1
12.0,3,13.142857142857142,1,6,10,11,1,7,5,1
13.714285714285714,4,11.8,1,5,9,6,0,9,6,0
0.0,0,10.666666666666666,1,3,9,10,0,5,7,0
11.2,4,11.6,1,5,8,9,1,4,4,2
10.333333333333334,3,10.333333333333334,1,3,12,13,0,8,8,2
11.0,3,12.25,1,4,11,11,0,10,10,2
12.75,4,12.0,1,6,7,6,0,10,10,2
14.731428571428571,7,14.731428571428571,1,7,8,8,0,6,6,1
0.0,0,0.0,1,0,0,0,0,10,4,1
14.25,12,13.615384615384617,1,13,12,14,0,10,4,1
14.8,5,15.8,1,5,5,5,0,10,10,1
14.571428571428571,6,14.666666666666666,1,6,7,6,0,5,5,1
0.0,0,0.0,1,0,5,5,0,1,1,0
14.654285714285717,7,14.654285714285717,1,7,8,8,1,8,8,1
12.401428571428571,7,12.401428571428571,1,7,8,8,0,9,5,1
14.071428571428571,7,11.5875,1,7,9,8,0,11,5,1
15.6,5,14.0,1,5,5,5,0,7,7,1
11.833333333333334,6,12.333333333333334,1,6,6,9,1,8,10,1
15.4,5,14.0,1,5,6,5,0,12,12,1
12.375,6,15.23076923076923,1,6,10,13,0,10,10,1
11.0,3,11.6,1,5,9,9,0,10,10,0
11.6,6,11.6,1,6,7,7,1,10,10,1
0.0,0,0.0,1,0,0,0,0,6,5,0
13.094444444444443,8,12.901428571428571,1,7,9,7,1,9,3,1
14.8,5,14.142857142857142,1,7,5,9,0,4,5,1
0.0,0,0.0,1,0,0,0,0,7,5,0
13.25375,8,13.25375,1,8,8,8,0,4,4,1
14.1,8,13.785714285714286,1,7,8,7,0,4,6,1
13.916666666666666,6,13.916666666666666,1,6,7,7,0,4,10,1
13.571428571428571,6,13.5,1,6,9,8,0,8,4,1
10.666666666666666,2,11.333333333333334,1,3,12,8,0,3,10,2
0.0,0,0.0,1,0,12,8,0,5,5,0
14.6,4,11.5,1,5,9,10,0,11,5,1
12.082857142857142,7,12.082857142857142,1,7,8,8,1,10,10,1
12.8,5,11.833333333333334,1,6,10,8,1,9,8,1
12.4,5,13.4,1,5,5,6,1,9,7,1
0.0,0,0.0,1,0,7,7,1,4,12,0
14.571428571428571,6,14.2,1,5,7,7,0,9,5,1
13.814285714285717,7,13.814285714285717,1,7,8,8,1,6,6,1
10.5,6,11.25,1,4,6,10,1,6,6,2
13.666666666666666,6,14.5,1,6,8,6,1,6,5,1
0.0,0,0.0,1,0,0,0,0,5,3,0
11.3,6,11.3,1,6,7,7,0,10,10,1
16.0,1,0.0,1,0,4,2,0,3,4,2
12.0,3,12.0,1,1,9,11,0,6,5,2
12.3,7,12.3,1,7,9,9,0,4,10,1
12.694285714285714,7,12.694285714285714,1,7,8,8,1,9,8,1
11.0,4,11.0,1,4,5,5,0,2,2,1
14.166666666666666,6,13.0,1,6,6,6,1,4,10,1
16.05,8,14.4125,1,7,8,8,1,2,3,1
14.0625,8,12.92875,1,7,8,8,0,8,8,0
12.8,5,13.333333333333334,1,6,10,6,0,8,10,1
12.8,5,12.8,1,5,9,8,1,11,4,2
14.402857142857142,7,14.402857142857142,1,7,8,8,0,6,6,1
13.381428571428572,7,13.381428571428572,1,7,8,8,1,9,10,1
13.98375,8,14.13125,1,7,8,8,0,6,8,1
12.6,5,11.714285714285714,1,5,6,11,0,8,5,1
11.25,4,11.8,1,5,8,5,0,8,10,2
11.0,2,11.166666666666666,1,6,15,9,0,13,13,1
0.0,0,0.0,1,0,6,7,0,7,6,0
12.0,5,13.6,1,5,8,9,0,9,10,0
14.090909090909092,11,13.846153846153848,1,12,18,14,0,10,5,1
13.333333333333334,6,12.5,1,6,8,7,1,8,6,1
14.6,5,16.4,1,5,5,5,0,3,4,1
13.454545454545457,11,13.818181818181818,1,11,11,11,1,8,6,1
10.5,4,10.6,1,5,11,8,0,4,3,1
12.2,5,10.2,1,5,6,8,0,6,4,1
10.4,4,10.6,1,5,11,11,0,10,5,2
10.8,5,11.444444444444445,1,9,11,10,0,4,3,0
12.625,8,14.333333333333334,1,5,8,9,0,11,6,2
13.266666666666667,13,13.0,1,16,15,18,1,1,1,1
13.31,8,13.31,1,8,9,9,1,9,5,1
12.2,5,10.571428571428571,1,5,9,10,1,10,5,1
13.487142857142857,7,13.487142857142857,1,7,8,8,1,10,10,1
11.833333333333334,6,12.333333333333334,1,6,7,6,1,8,10,1
